Object,X,Y,Z,Time
Jupiter,    7.7521E+11,    7.2992E+10,    0.0000E+00,            5580000.
Sun,    3.3033E+06,    1.0429E+05,    0.0000E+00,            5640000.
Jupiter,    7.7514E+11,    7.3775E+10,    0.0000E+00,            5640000.
Sun,    3.3740E+06,    1.0766E+05,    0.0000E+00,            5700000.
Jupiter,    7.7507E+11,    7.4557E+10,    0.0000E+00,            5700000.
Sun,    3.4454E+06,    1.1110E+05,    0.0000E+00,            5760000.
Jupiter,    7.7499E+11,    7.5340E+10,    0.0000E+00,            5760000.
Sun,    3.5175E+06,    1.1461E+05,    0.0000E+00,            5820000.
Jupiter,    7.7492E+11,    7.6122E+10,    0.0000E+00,            5820000.
Sun,    3.5904E+06,    1.1819E+05,    0.0000E+00,            5880000.
Jupiter,    7.7484E+11,    7.6904E+10,    0.0000E+00,            5880000.
Sun,    3.6640E+06,    1.2185E+05,    0.0000E+00,            5940000.
Jupiter,    7.7476E+11,    7.7686E+10,    0.0000E+00,            5940000.
Sun,    3.7384E+06,    1.2558E+05,    0.0000E+00,            6000000.
Jupiter,    7.7468E+11,    7.8468E+10,    0.0000E+00,            6000000.
Sun,    3.8135E+06,    1.2939E+05,    0.0000E+00,            6060000.
Jupiter,    7.7460E+11,    7.9250E+10,    0.0000E+00,            6060000.
Sun,    3.8893E+06,    1.3328E+05,    0.0000E+00,            6120000.
Jupiter,    7.7453E+11,    8.0032E+10,    0.0000E+00,            6120000.
Sun,    3.9659E+06,    1.3724E+05,    0.0000E+00,            6180000.
Jupiter,    7.7445E+11,    8.0814E+10,    0.0000E+00,            6180000.
Sun,    4.0433E+06,    1.4127E+05,    0.0000E+00,            6240000.
Jupiter,    7.7436E+11,    8.1596E+10,    0.0000E+00,            6240000.
Sun,    4.1214E+06,    1.4539E+05,    0.0000E+00,            6300000.
Jupiter,    7.7428E+11,    8.2378E+10,    0.0000E+00,            6300000.
Sun,    4.2002E+06,    1.4959E+05,    0.0000E+00,            6360000.
Jupiter,    7.7420E+11,    8.3159E+10,    0.0000E+00,            6360000.
Sun,    4.2798E+06,    1.5386E+05,    0.0000E+00,            6420000.
Jupiter,    7.7412E+11,    8.3941E+10,    0.0000E+00,            6420000.
Sun,    4.3601E+06,    1.5822E+05,    0.0000E+00,            6480000.
Jupiter,    7.7403E+11,    8.4722E+10,    0.0000E+00,            6480000.
Sun,    4.4412E+06,    1.6266E+05,    0.0000E+00,            6540000.
Jupiter,    7.7395E+11,    8.5504E+10,    0.0000E+00,            6540000.
Sun,    4.5230E+06,    1.6718E+05,    0.0000E+00,            6600000.
Jupiter,    7.7386E+11,    8.6285E+10,    0.0000E+00,            6600000.
Sun,    4.6056E+06,    1.7178E+05,    0.0000E+00,            6660000.
Jupiter,    7.7378E+11,    8.7066E+10,    0.0000E+00,            6660000.
Sun,    4.6889E+06,    1.7647E+05,    0.0000E+00,            6720000.
Jupiter,    7.7369E+11,    8.7847E+10,    0.0000E+00,            6720000.
Sun,    4.7729E+06,    1.8124E+05,    0.0000E+00,            6780000.
Jupiter,    7.7360E+11,    8.8628E+10,    0.0000E+00,            6780000.
Sun,    4.8577E+06,    1.8610E+05,    0.0000E+00,            6840000.
Jupiter,    7.7351E+11,    8.9409E+10,    0.0000E+00,            6840000.
Sun,    4.9432E+06,    1.9104E+05,    0.0000E+00,            6900000.
Jupiter,    7.7342E+11,    9.0190E+10,    0.0000E+00,            6900000.
Sun,    5.0295E+06,    1.9607E+05,    0.0000E+00,            6960000.
Jupiter,    7.7333E+11,    9.0971E+10,    0.0000E+00,            6960000.
Sun,    5.1165E+06,    2.0118E+05,    0.0000E+00,            7020000.
Jupiter,    7.7324E+11,    9.1751E+10,    0.0000E+00,            7020000.
Sun,    5.2043E+06,    2.0639E+05,    0.0000E+00,            7080000.
Jupiter,    7.7315E+11,    9.2532E+10,    0.0000E+00,            7080000.
Sun,    5.2928E+06,    2.1168E+05,    0.0000E+00,            7140000.
Jupiter,    7.7306E+11,    9.3312E+10,    0.0000E+00,            7140000.
Sun,    5.3821E+06,    2.1706E+05,    0.0000E+00,            7200000.
Jupiter,    7.7296E+11,    9.4093E+10,    0.0000E+00,            7200000.
Sun,    5.4721E+06,    2.2254E+05,    0.0000E+00,            7260000.
Jupiter,    7.7287E+11,    9.4873E+10,    0.0000E+00,            7260000.
